date,open,high,low,close,volume
3/17/2022,201.7,208.04,201.11,207.84,29287482
3/18/2022,206.7,216.8,206,216.49,51157976
3/21/2022,214.5,214.71,207.63,211.49,29072837
3/22/2022,211.37,219.46,210.18,216.65,31934386
3/23/2022,213.33,216.7988,212.16,213.46,23547393
3/24/2022,215,220.67,214.79,219.57,31336499
3/25/2022,220.51,225.5,218.8901,221.82,39854786
3/28/2022,222.13,224.04,219.54,223.59,25573374
3/29/2022,226.07,230.89,225.29,229.86,31001537
3/30/2022,228.91,231.151,226.71,227.85,24713153
3/31/2022,228.45,228.49,222.26,222.36,24029964
4/1/2022,224.55,227.28,222.7,224.85,19509371
4/4/2022,225.98,234.351,225.86,233.89,27254402
4/5/2022,234.08,236.86,231.02,231.84,29525086
4/6/2022,226.91,228.9899,221.405,223.3,28858753
4/7/2022,223.93,225.52,218.56,222.95,19696164
4/8/2022,222.38,225.13,220.0283,222.33,18344461
4/11/2022,218.42,220.61,215.2198,216.46,20452089
4/12/2022,220.235,222.03,213.13,214.14,19780367
4/13/2022,211.82,216.61,211.33,214.99,19089182
4/14/2022,214.89,214.99,210,210.18,18379455
4/18/2022,210,213.38,208.3,210.77,16493191
4/19/2022,210.52,218.4299,209,217.31,19890849
4/20/2022,213.605,214.16,198.92,200.42,42859593
4/21/2022,201.6,202.965,185.58,188.07,49158794
4/22/2022,190.37,192.72,183.27,184.11,36308593
